order_id,order_details_id,pizza_id,quantity
1,1,hawaiian_m,1
2,2,classic_dlx_m,1
2,3,five_cheese_l,1
2,4,ital_supr_l,1
2,5,mexicana_m,1
2,6,thai_ckn_l,1
3,7,ital_supr_m,1
3,8,prsc_argla_l,1
4,9,ital_supr_m,1
5,10,ital_supr_m,1
6,11,bbq_ckn_s,1
6,12,the_greek_s,1
7,13,spinach_supr_s,1
8,14,spinach_supr_s,1
9,15,classic_dlx_s,1
9,16,green_garden_s,1
9,17,ital_cpcllo_l,1
9,18,ital_supr_l,1
9,19,ital_supr_s,1
9,20,mexicana_s,1
9,21,spicy_ital_l,1
9,22,spin_pesto_l,1
9,23,veggie_veg_s,1
10,24,mexicana_l,1
10,25,southw_ckn_l,1
11,26,bbq_ckn_l,1
11,27,cali_ckn_l,1
11,28,cali_ckn_m,1
11,29,pepperoni_l,1
12,30,cali_ckn_l,1
12,31,cali_ckn_s,1
12,32,ckn_pesto_l,1
12,33,ital_supr_m,1
13,34,mexicana_l,1
14,35,the_greek_s,1
15,36,big_meat_s,1
15,37,five_cheese_l,1
15,38,soppressata_l,1
15,39,the_greek_s,1
16,40,four_cheese_l,1
16,41,napolitana_s,1
16,42,thai_ckn_l,1
17,43,bbq_ckn_l,1
17,44,calabrese_m,1
17,45,five_cheese_l,1
17,46,four_cheese_m,1
17,47,ital_supr_m,1
17,48,ital_veggie_s,1
17,49,mediterraneo_m,2
17,50,mexicana_l,1
17,51,peppr_salami_s,1
17,52,spinach_fet_l,1
18,53,napolitana_l,1
19,54,ital_cpcllo_l,1
19,55,sicilian_l,1
20,56,big_meat_s,1
20,57,five_cheese_l,1
21,58,ital_cpcllo_l,1
22,59,five_cheese_l,1
22,60,ital_cpcllo_m,1
22,61,southw_ckn_l,1
23,62,southw_ckn_s,1
24,63,bbq_ckn_m,1
24,64,ital_cpcllo_m,1
24,65,pepperoni_m,1
24,66,prsc_argla_s,1
25,67,sicilian_m,1
25,68,thai_ckn_l,1
26,69,classic_dlx_s,1
26,70,veggie_veg_l,1
27,71,bbq_ckn_l,1
27,72,classic_dlx_m,1
27,73,spinach_fet_l,1
